address1,address2,date
hiyoshi,yokohama,
yokohama,motomachichukagai,
musashikosugi,shibuya,
shinjuku,shibuya,
tokyo,tsukishima,
shibuya,yutenji,
yutenji,musashikosugi,
namamugi,yokohama,
kawasaki,yokohama,
kawasaki,mita,
shinbashi,tokyo,
shinbashi,kokusaitenjijo,
kokusaitenjijo,tsukishima,
mita,shinbashi,
mita,kawasaki,
mita,megruo,
meguro,hiyoshi,
ysfh,tsurumi,
namamugi,tsurumi,
tsurumi,kawasaki,
musashikosugi,kawasaki,
hiyoshi,musashikosugi,
meguro,shibuya,
machida,fuchinobe,2015/5/24_22:40:49
kamakura,ofuna,2015/5/24_22:42:12
fuchinobe,machida,2015/5/24_23:18:10
fujisawa,ofuna,2015/5/24_23:19:6
oiso,fujisawa,2015/5/24_23:19:18
ofuna,totsuka,2015/5/24_23:19:30
totsuka,shonandai,2015/5/24_23:19:43
totsuka,yokohama,2015/5/24_23:19:53
meguro,mita,2015/5/25_0:1:30
hakone,oiso,2015/5/25_0:2:34
tokyo,narita,2015/5/25_9:20:34
narita,taiwan,2015/5/25_9:20:43
taiwan,sydney,2015/5/25_9:20:58
sydney,narita,2015/5/25_9:21:6
taiwan,singapore,2015/5/25_9:21:17
chiba,tokyo,2015/5/25_10:46:23
kawaguchi,hiyoshi,2015/5/25_12:30:2
kawaguchi,shibuya,2015/5/25_12:30:22
england,russia,2015/5/25_12:31:24
hiyoshi,yokohama,2015/5/25_12:31:52
hiyoshi,yokohama,2015/5/25_12:31:59
hiyoshi,yokohama,2015/5/25_12:32:4
hiyoshi,motomachichukagai,2015/5/25_14:41:5
machida,yokohama,2015/5/25_14:54:53
kawasaki,haneda,2015/5/25_16:38:38
jinbocho,tokyo,2015/5/25_16:41:1
jinbocho,akihabara,2015/5/25_16:41:38
akihabara,tokyo,2015/5/25_16:41:44
jinbocho,tokyo,2015/5/25_16:42:9
jinbocho,tokyo,2015/5/25_16:42:16
kuala lumpur tower,kuala lumpur,2015/5/25_17:11:56
akihabara station,akihabara,2015/5/25_17:12:38
keio sfc,shonandai,2015/5/25_17:16:47
kobe,osaka,2015/5/25_17:38:31
osaka,yokohama,2015/5/25_17:38:40
niigata asahimura,niigata,2015/5/25_17:39:5
niigata murakami,niigata,2015/5/25_17:39:16
niigata,tokyo,2015/5/25_17:39:29
thornleigh station,sydney,2015/5/25_17:42:32
manly,sydney,2015/5/25_17:42:43
seattle,narita,2015/5/25_17:43:20
hiyoshi,yagami,2015/5/26_9:9:57
sapporo,hakata,2015/5/26_9:10:19
akita,hakodate,2015/6/1_15:59:32
seattle,sydney,2015/6/1_16:0:23
￿￿ibaraki,tokyo,2015/6/2_22:37:14
ibaraki,murakami,2015/6/2_22:37:28
innoshima,hiyoshi,2015/7/24_18:32:40
iinoshima,okayama,2015/7/24_18:33:5
okayama,innoshima,2015/7/24_18:33:10
kozukue,kamoi,2015/7/28_22:57:25
nerima,hiyoshi,2015/11/6_16:10:23
hiyoshi,todoroki,2015/11/20_17:58:17
todoroki,hiyoshi,2015/11/20_17:58:42
